	County	State	Population_Density	Poverty	Infant_Mortality	Suicide	Total_Births	Total_Deaths
0	Autauga	AL	82	10.4	5.9	16.6	3048.0	1867.0
1	Baldwin	AL	102	10.2	7.1	14.3	5471.0	4388.0
2	Barbour	AL	32	22.1	7.1	10.3	1835.0	1538.0
3	Bibb	AL	35	16.8	9.8	14.8	2801.0	2012.0
4	Blount	AL	86	11.9	9.0	14.4	3318.0	2453.0
5	Bullock	AL	18	26.2	13.3	0.0	1604.0	1381.0
6	Butler	AL	27	20.0	5.8	11.9	2874.0	2857.0
7	Calhoun	AL	184	16.4	9.5	13.6	4429.0	3915.0
8	Chambers	AL	59	16.2	7.5	12.8	2271.0	2424.0
9	Cherokee	AL	44	15.2	7.4	17.7	2659.0	2609.0
10	Chilton	AL	60	14.9	10.5	13.3	2671.0	2065.0
11	Choctaw	AL	16	18.7	10.8	9.4	2152.0	1742.0
12	Clarke	AL	22	19.2	7.1	8.9	1984.0	1444.0
13	Clay	AL	23	14.0	10.2	11.2	1748.0	1706.0
14	Cleburne	AL	26	14.0	7.0	30.1	1706.0	1540.0
15	Coffee	AL	67	13.7	2.9	13.1	2762.0	2210.0
16	Colbert	AL	92	14.0	8.2	15.1	3166.0	3087.0
17	Conecuh	AL	16	22.0	14.4	13.2	1872.0	1832.0
18	Coosa	AL	17	13.4	13.9	0.0	1273.0	1174.0
19	Covington	AL	36	17.5	6.2	10.7	2247.0	2499.0
20	Crenshaw	AL	23	17.6	11.4	11.2	1745.0	1825.0
21	Cullman	AL	108	13.3	6.9	9.1	4897.0	4405.0
22	Dale	AL	87	15.8	7.9	10.8	3789.0	2259.0
23	Dallas	AL	45	25.0	9.6	8.4	3767.0	2752.0
24	DeKalb	AL	86	15.1	7.7	10.9	4665.0	3326.0
25	Elmore	AL	119	12.5	7.6	8.5	4707.0	2823.0
26	Escambia	AL	40	18.6	12.3	11.0	2519.0	2151.0
27	Etowah	AL	193	15.7	8.7	15.7	3810.0	4020.0
28	Fayette	AL	29	16.1	7.3	12.0	2145.0	2224.0
29	Franklin	AL	48	17.4	11.5	13.8	2169.0	1902.0
30	Geneva	AL	45	17.6	7.1	13.3	3007.0	3080.0
31	Greene	AL	15	24.9	10.2	15.0	1568.0	1193.0
32	Hale	AL	28	20.6	13.8	7.0	2568.0	1960.0
33	Henry	AL	30	16.3	7.6	8.9	2070.0	1898.0
34	Houston	AL	162	15.3	8.0	7.6	6497.0	4329.0
35	Jackson	AL	50	14.5	6.4	12.5	3279.0	2871.0
36	Jefferson	AL	591	14.4	11.3	11.3	27118.0	21937.0
37	Lamar	AL	25	16.1	15.6	13.7	1870.0	1985.0
38	Lauderdale	AL	131	15.6	5.4	12.6	4995.0	4541.0
39	Lawrence	AL	50	14.4	5.3	10.9	2080.0	1740.0
40	Lee	AL	202	15.1	8.3	9.9	7131.0	3852.0
41	Limestone	AL	124	11.8	7.3	13.4	4244.0	2826.0
42	Lowndes	AL	18	23.3	12.6	8.2	2108.0	1364.0
43	Macon	AL	37	25.8	13.0	11.7	3113.0	2801.0
44	Madison	AL	370	10.9	9.1	10.6	10693.0	6626.0
45	Marengo	AL	22	20.1	12.2	4.8	3318.0	2600.0
46	Marion	AL	41	16.8	8.8	13.4	1825.0	1887.0
47	Marshall	AL	151	15.2	7.9	15.7	6319.0	4669.0
48	Mobile	AL	326	18.5	10.0	10.9	17569.0	11805.0
49	Monroe	AL	23	17.7	7.8	12.6	3601.0	2481.0
50	Montgomery	AL	281	18.0	9.5	10.2	9959.0	6207.0
51	Morgan	AL	195	13.2	5.2	15.5	4421.0	3171.0
52	Perry	AL	16	28.6	10.2	0.0	2003.0	1595.0
53	Pickens	AL	23	19.3	8.2	9.9	2850.0	2556.0
54	Pike	AL	44	20.3	9.1	11.9	2078.0	1603.0
55	Randolph	AL	39	15.7	9.0	17.3	2873.0	2612.0
56	Russell	AL	77	18.6	12.9	12.3	3406.0	2837.0
57	St. Clair	AL	114	13.1	9.3	13.3	4196.0	3134.0
58	Shelby	AL	216	6.9	6.4	8.1	7311.0	2886.0
59	Sumter	AL	15	26.4	14.4	9.9	2175.0	1666.0
60	Talladega	AL	109	16.8	10.0	9.6	5411.0	4456.0
61	Tallapoosa	AL	57	16.0	7.9	15.1	2521.0	2715.0
62	Tuscaloosa	AL	128	16.5	12.9	11.9	6587.0	4532.0
63	Walker	AL	88	14.8	12.1	17.8	4542.0	4687.0
64	Washington	AL	16	16.9	9.8	10.2	2429.0	1684.0
65	Wilcox	AL	15	27.9	11.3	0.0	2258.0	1609.0
66	Winston	AL	40	16.9	7.3	13.7	2873.0	2786.0
67	Aleutians East	AK	0	11.7	0.0	0.0	222.0	73.0
68	Aleutians West	AK	1	7.3	0.0	0.0	418.0	139.0
69	Anchorage	AK	162	8.7	5.9	15.8	12633.0	3631.0
70	Bethel	AK	0	20.9	12.9	34.3	4132.0	816.0
71	Bristol Bay	AK	2	8.1	0.0	0.0	186.0	50.0
72	Denali	AK	0	6.6	0.0	0.0	26.0	6.0
73	Dillingham	AK	0	18.1	11.4	21.8	1003.0	251.0
